name,top,top_saler,price1,price2,price3,price4,price5,delivery,link,color,size
Пижама Baykar 9289 мультиколор 122-128,1,Бубльгум,6 570 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/pizhama-baykar-9289-mul-tikolor-108666380/?c=750000000,"[] мультиколор:True, ","[]122-128:True, 128-134:True, "
Batik Снегурочка 6011 Babies 74,2,Murzilkakz(9 отзывов),11 000 ₸,11 085 ₸,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-snegurochka-6011-babies-106627934/?c=750000000,"[] голубой:True, ","[]74:True, "
Batik 406-22з-1 синий 68-74,1,Бубльгум,42 050 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-406-22z-1-sinii-68-74-107605296/?c=750000000,[],[]
"Трусы Baykar 7948 белый, бежевый, черный 158-164",1,Бубльгум,3 247 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/baykar-7948-belyi-bezhevyi-chernyi-158-164-107821867/?c=750000000,[],[]
Костюм Batik кролик 288 104,1,Бубльгум,8 370 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-krolik-288-105877486/?c=750000000,"[] бежевый:True, ","[]104:True, "
Трусы Baykar 5246 мультиколор 158-164,2,ИП АЛЫМОВА-,2 945 ₸,2 949 ₸,2 999 ₸,---,---,"Kaspi Доставка, межгород, 4 марта",https://kaspi.kz/shop/p/baykar-5246-mul-tikolor-158-164-107821882/?c=750000000,[],[]
Костюм Batik Снежинка Серебряная 8044 белый 116,99,Murzilkakz(9 отзывов),10 400 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-snezhinka-serebrjanaja-8044-belyi-107624689/?c=750000000,"[] белый:True, ","[]104:False, 116:True, 122:True, 140:True, "
"Колготки LB 313 серый, черный 92-98",1,Бубльгум,2 200 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/lb-313-seryi-chernyi-92-98-105380961/?c=750000000,[],[]
Трусы Baykar 5416 мультиколор 122-128,1,Бубльгум,3 826 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/baykar-5416-mul-tikolor-122-128-107821909/?c=750000000,[],[]
Комбинезон OLDOS ALAW21OV3T101 74,1,Бубльгум,38 630 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/oldos-alaw21ov3t101-babies-104709677/?c=750000000,"[] розовый:True, ","[]74:True, "
"Трусы Baykar 7948 белый, бежевый, черный 170-176",1,Бубльгум,3 265 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/baykar-7948-belyi-bezhevyi-chernyi-170-176-107821907/?c=750000000,[],[]
Трусы Baykar 5416 мультиколор 110-116,1,Бубльгум,3 826 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/baykar-5416-mul-tikolor-110-116-107821873/?c=750000000,[],[]
Костюм Batik 294 Песик 104,1,Бубльгум,6 755 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-294-pesik-105877490/?c=750000000,"[] коричневый:True, ","[]104:True, "
Костюм Batik 3029 к-22 Снегурочка Арина голубой,1,Бубльгум,25 920 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-3029-k-22-snegurochka-arina-goluboi-108246788/?c=750000000,[],[]
Футболка Ябольшой 264-1003-03 мультиколор 86,1,Бубльгум,2 970 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/jabol-shoi-264-1003-03-mul-tikolor-108302111/?c=750000000,"[] мультиколор:True, ","[]86:True, 92:True, "
"Фабрика Бамбук Лоно яблоко E000001KNR пеленка текстильная, 1 шт, 90x120 см, хлопок, мультиколор",1,Бубльгум,3 320 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/fabrika-bambuk-lono-jabloko-e000001knr-pelenka-tekstil-naja-1-sht-90x120-sm-hlopok-mul-tikolor-104707022/?c=750000000,[],[]
Шорты Ябольшой 251-625-01 мультиколор 98,1,Бубльгум,4 030 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/jabol-shoi-251-625-01-mul-tikolor-104432057/?c=750000000,"[] мультиколор:True, ","[]98:True, 104:True, 110:True, 116:True, "
Кофточка Batik 02049_BAT серый 62,1,Бубльгум,1 840 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/koftochka-batik-02049-bat-seryi-109090654/?c=750000000,"[] серый:True, ","[]62:True, 68:True, 74:True, 80:True, "
Боди Ябольшой 152-1201-01 белый  74,1,Бубльгум,2 730 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/jabol-shoi-152-1201-01-belyi--108416832/?c=750000000,"[] белый:True, ","[]56:True, 62:True, 68:True, 74:True, "
Костюм Batik 3010 к-18 Снегурочка белый,1,Бубльгум,24 190 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-3010-k-18-snegurochka-belyi-108246835/?c=750000000,[],[]
Костюм Заяц серый Batik 4006 к-18 серый 98,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/zajats-seryi-batik-4006-k-18-seryi-107874870/?c=750000000,"[] серый:True, ","[]98:False, 110:True, "
